user_id,product_id,satisfaction_score,would_recommend,had_reaction,usage_days,age,skin_type,skin_condition,climate,sensitivity_level,oil_production,hydration_level,pore_size,wrinkle_score,name,type,brand,price,rating,ingredients,suitable_for_oily,suitable_for_dry,suitable_for_sensitive,suitable_for_combination,suitable_for_normal,has_fragrance,has_alcohol,is_hypoallergenic,spf_level
80,183,2.9,0,0,31,57,Sensitive,Acne,Dry,8,9,2,7,3,Serum 183,Serum,Brand A,74.81,3.3,"Hyaluronic Acid,Centella Asiatica,Glycerin,Salicylic Acid",0,0,0,1,0,0,1,1,0
431,278,6.6,0,0,50,45,Sensitive,Hyperpigmentation,Humid,7,3,5,4,1,Toner 278,Toner,Brand A,136.46,5.0,"Titanium Dioxide,Zinc Oxide,Ceramides,Zinc Oxide,Glycolic Acid",0,1,1,0,1,0,0,0,0
358,276,6.5,0,0,57,20,Dry,Aging,Humid,1,3,1,9,8,Mask 276,Mask,Brand C,37.66,3.3,"Aloe Vera,Centella Asiatica,Squalane,Aloe Vera",1,1,0,0,1,0,0,0,0
439,462,4.0,0,0,75,18,Normal,Acne,Temperate,5,5,2,9,5,Serum 462,Serum,Brand B,138.23,3.3,"Salicylic Acid,Glycerin,Vitamin C,Aloe Vera,Glycolic Acid,Squalane,Vitamin E",1,0,0,1,0,1,0,0,0
1455,21,2.9,0,1,7,58,Normal,Hyperpigmentation,Dry,10,1,9,8,1,Moisturizer 21,Moisturizer,Brand A,50.96,4.1,"Niacinamide,Retinol,Squalane,Aloe Vera,Zinc Oxide",1,1,1,1,0,1,0,1,0
1488,365,4.1,0,0,29,52,Sensitive,None,Temperate,2,1,5,5,6,Serum 365,Serum,Brand B,63.91,3.2,"Centella Asiatica,Squalane,Glycerin,Salicylic Acid,Lactic Acid,Zinc Oxide",1,0,0,1,1,1,1,0,0
1810,241,6.0,0,0,83,63,Sensitive,Aging,Cold,4,9,1,6,9,Toner 241,Toner,Brand C,108.91,4.4,"Aloe Vera,Hyaluronic Acid,Zinc Oxide,Zinc Oxide,Squalane",0,1,1,0,0,0,0,1,0
52,500,5.8,0,1,19,64,Combination,Aging,Cold,9,4,10,6,4,Mask 500,Mask,Brand E,13.36,4.1,"Glycolic Acid,Vitamin C,Salicylic Acid",0,1,0,1,0,1,0,1,0
96,273,4.8,0,0,82,24,Dry,Aging,Dry,4,2,2,2,1,Toner 273,Toner,Brand B,104.96,4.7,"Centella Asiatica,Squalane,Lactic Acid,Titanium Dioxide",0,0,0,0,1,1,0,0,0
1698,61,4.5,0,0,68,23,Dry,Hyperpigmentation,Cold,8,2,3,6,4,Serum 61,Serum,Brand B,37.41,4.6,"Niacinamide,Glycerin,Glycolic Acid,Lactic Acid,Titanium Dioxide,Ceramides,Salicylic Acid",1,1,0,1,0,1,1,0,0
837,63,7.0,1,0,79,46,Combination,Hyperpigmentation,Dry,3,6,10,1,2,Sunscreen 63,Sunscreen,Brand B,11.79,4.9,"Squalane,Vitamin C,Glycolic Acid,Lactic Acid,Hyaluronic Acid",1,0,0,1,1,0,1,1,0
1081,320,1.0,0,1,58,44,Sensitive,Aging,Dry,9,6,7,8,9,Toner 320,Toner,Brand E,65.8,3.2,"Vitamin C,Ceramides,Hyaluronic Acid",1,0,0,1,1,1,1,0,0
1599,248,1.3,0,1,51,26,Combination,Acne,Temperate,9,5,5,3,10,Sunscreen 248,Sunscreen,Brand B,72.4,4.6,"Niacinamide,Ceramides,Aloe Vera,Ceramides",1,0,1,0,1,1,1,1,50
620,46,2.4,0,1,47,62,Oily,Rosacea,Dry,10,8,8,1,10,Cleanser 46,Cleanser,Brand B,60.79,3.3,"Titanium Dioxide,Glycerin,Niacinamide,Zinc Oxide,Niacinamide",0,1,0,0,0,1,0,0,0
814,129,3.2,0,0,39,22,Oily,Acne,Dry,10,9,10,8,10,Mask 129,Mask,Brand C,37.61,3.4,"Aloe Vera,Retinol,Niacinamide,Glycolic Acid,Vitamin E,Niacinamide",0,0,0,1,0,0,1,0,0
1082,384,3.0,0,0,52,53,Dry,Aging,Temperate,1,2,4,2,3,Toner 384,Toner,Brand B,121.89,3.9,"Aloe Vera,Chamomile,Glycolic Acid",0,0,0,0,0,1,1,1,0
1364,66,4.3,0,0,38,44,Normal,Acne,Humid,4,8,10,1,8,Serum 66,Serum,Brand B,91.69,3.7,"Titanium Dioxide,Vitamin E,Retinol",1,1,0,1,0,1,1,0,0
1060,19,5.7,0,0,63,42,Combination,Aging,Dry,10,10,6,9,8,Moisturizer 19,Moisturizer,Brand C,76.49,4.2,"Centella Asiatica,Glycolic Acid,Vitamin E,Titanium Dioxide,Lactic Acid",0,1,0,1,1,0,1,0,0
1291,282,6.6,0,0,62,53,Oily,Acne,Cold,4,9,8,6,4,Toner 282,Toner,Brand B,109.93,4.7,"Centella Asiatica,Squalane,Zinc Oxide,Titanium Dioxide",1,1,0,1,0,0,0,0,0
1554,369,4.6,0,1,30,29,Sensitive,None,Temperate,9,9,2,8,10,Serum 369,Serum,Brand D,117.68,4.0,"Titanium Dioxide,Retinol,Titanium Dioxide,Zinc Oxide,Retinol,Titanium Dioxide",0,1,1,0,0,1,1,1,0
974,115,3.4,0,0,81,23,Oily,None,Temperate,5,9,9,7,5,Sunscreen 115,Sunscreen,Brand B,92.74,3.7,"Aloe Vera,Titanium Dioxide,Zinc Oxide,Lactic Acid",0,0,1,1,1,0,1,0,15
639,423,3.3,0,1,71,20,Sensitive,Acne,Dry,8,6,8,9,8,Serum 423,Serum,Brand E,149.85,4.2,"Zinc Oxide,Glycerin,Vitamin C,Retinol,Chamomile,Glycerin",0,1,1,0,0,1,1,1,0
1104,176,2.1,0,0,78,46,Normal,Rosacea,Humid,10,8,7,6,4,Mask 176,Mask,Brand A,19.02,3.5,"Glycerin,Squalane,Glycolic Acid,Retinol",0,0,1,0,0,0,1,1,0
189,277,5.0,0,0,69,26,Oily,Aging,Humid,9,10,8,2,8,Mask 277,Mask,Brand B,16.82,4.6,"Chamomile,Zinc Oxide,Chamomile,Hyaluronic Acid,Vitamin C",0,1,0,1,1,0,0,1,0
1940,442,7.7,1,0,88,52,Oily,Eczema,Temperate,3,7,10,3,7,Toner 442,Toner,Brand D,57.19,4.1,"Salicylic Acid,Glycolic Acid,Centella Asiatica,Chamomile,Lactic Acid,Centella Asiatica,Vitamin E",1,1,0,1,1,0,0,0,0
1215,158,3.9,0,1,50,49,Normal,Rosacea,Dry,4,9,2,4,3,Cleanser 158,Cleanser,Brand D,31.09,4.8,"Retinol,Vitamin C,Vitamin E,Salicylic Acid,Centella Asiatica,Titanium Dioxide,Ceramides",1,0,0,0,0,1,1,0,0
1347,442,3.7,0,0,81,59,Sensitive,Hyperpigmentation,Dry,7,3,8,4,8,Toner 442,Toner,Brand D,57.19,4.1,"Salicylic Acid,Glycolic Acid,Centella Asiatica,Chamomile,Lactic Acid,Centella Asiatica,Vitamin E",1,1,0,1,1,0,0,0,0
756,183,2.6,0,0,65,26,Oily,Acne,Temperate,9,8,6,6,8,Serum 183,Serum,Brand A,74.81,3.3,"Hyaluronic Acid,Centella Asiatica,Glycerin,Salicylic Acid",0,0,0,1,0,0,1,1,0
1702,115,2.1,0,1,19,27,Oily,Hyperpigmentation,Cold,8,10,7,5,2,Sunscreen 115,Sunscreen,Brand B,92.74,3.7,"Aloe Vera,Titanium Dioxide,Zinc Oxide,Lactic Acid",0,0,1,1,1,0,1,0,15
1318,442,6.1,0,0,23,27,Combination,Hyperpigmentation,Temperate,3,5,10,9,3,Toner 442,Toner,Brand D,57.19,4.1,"Salicylic Acid,Glycolic Acid,Centella Asiatica,Chamomile,Lactic Acid,Centella Asiatica,Vitamin E",1,1,0,1,1,0,0,0,0
379,114,3.9,0,0,43,43,Dry,None,Dry,7,1,4,2,4,Sunscreen 114,Sunscreen,Brand B,96.69,3.5,"Retinol,Glycolic Acid,Glycerin,Vitamin E,Lactic Acid,Hyaluronic Acid",0,0,1,1,0,0,0,1,50
1878,98,3.8,0,0,66,43,Oily,Acne,Dry,3,10,8,10,8,Moisturizer 98,Moisturizer,Brand A,90.87,3.7,"Vitamin C,Glycolic Acid,Vitamin E",0,1,0,0,0,1,1,1,0
1593,107,6.1,0,0,86,49,Dry,Hyperpigmentation,Cold,6,2,1,6,9,Sunscreen 107,Sunscreen,Brand D,129.21,4.2,"Aloe Vera,Retinol,Glycolic Acid,Salicylic Acid",0,1,1,0,1,0,1,0,30
841,77,3.8,0,0,55,22,Oily,Aging,Temperate,6,10,8,4,2,Moisturizer 77,Moisturizer,Brand B,75.93,4.6,"Hyaluronic Acid,Titanium Dioxide,Centella Asiatica,Glycerin",0,1,0,0,1,1,0,1,0
377,341,6.8,0,0,88,46,Oily,None,Temperate,5,7,10,7,3,Serum 341,Serum,Brand A,104.21,4.1,"Hyaluronic Acid,Aloe Vera,Glycerin,Vitamin E",1,1,1,0,1,1,0,0,0
21,179,4.1,0,0,80,47,Dry,None,Humid,10,3,3,1,1,Serum 179,Serum,Brand B,139.2,3.5,"Titanium Dioxide,Vitamin C,Ceramides,Titanium Dioxide,Glycerin,Vitamin E",1,1,1,1,0,1,1,1,0
225,265,7.4,1,0,81,41,Dry,Hyperpigmentation,Cold,5,1,4,4,6,Toner 265,Toner,Brand B,95.1,4.0,"Niacinamide,Centella Asiatica,Titanium Dioxide,Aloe Vera,Glycerin,Vitamin C,Vitamin E",1,1,0,1,1,0,1,0,0
1687,425,7.6,1,0,39,30,Sensitive,Eczema,Temperate,4,5,2,5,1,Serum 425,Serum,Brand C,66.3,4.6,"Chamomile,Aloe Vera,Salicylic Acid",0,1,1,0,1,1,1,0,0
617,42,4.0,0,0,17,55,Oily,Hyperpigmentation,Temperate,6,9,9,7,3,Mask 42,Mask,Brand B,102.36,4.3,"Titanium Dioxide,Vitamin E,Salicylic Acid,Zinc Oxide",0,0,1,0,1,1,1,0,0
152,189,7.4,1,0,89,54,Sensitive,Rosacea,Temperate,8,3,3,3,1,Moisturizer 189,Moisturizer,Brand A,131.93,3.0,"Aloe Vera,Niacinamide,Retinol,Hyaluronic Acid,Aloe Vera,Zinc Oxide",1,1,1,0,0,0,0,0,0
1997,97,7.0,0,0,63,37,Normal,None,Dry,6,6,2,2,7,Serum 97,Serum,Brand B,135.91,4.0,"Glycerin,Lactic Acid,Lactic Acid,Niacinamide,Aloe Vera,Chamomile,Niacinamide",0,0,1,1,1,1,1,0,0
1099,254,7.5,1,0,75,64,Oily,Eczema,Cold,5,7,9,5,5,Sunscreen 254,Sunscreen,Brand B,30.95,4.5,"Niacinamide,Titanium Dioxide,Glycerin,Titanium Dioxide",1,1,0,1,1,0,0,1,30
952,86,3.4,0,0,7,54,Oily,Eczema,Cold,6,8,6,3,4,Mask 86,Mask,Brand B,57.02,3.4,"Squalane,Ceramides,Vitamin E",0,1,1,0,1,0,0,0,0
1150,447,7.4,1,0,43,59,Oily,Acne,Temperate,3,7,6,3,1,Cleanser 447,Cleanser,Brand D,133.21,4.0,"Hyaluronic Acid,Glycolic Acid,Vitamin C,Niacinamide",1,1,0,0,1,0,0,0,0
342,48,4.0,0,0,71,54,Sensitive,Hyperpigmentation,Dry,2,10,1,4,10,Sunscreen 48,Sunscreen,Brand C,111.41,4.4,"Niacinamide,Lactic Acid,Vitamin E,Chamomile,Glycerin,Squalane,Glycerin",1,0,0,1,1,1,1,0,50
1818,138,3.4,0,1,76,37,Dry,Eczema,Dry,5,3,4,10,6,Moisturizer 138,Moisturizer,Brand C,134.56,3.8,"Centella Asiatica,Lactic Acid,Zinc Oxide,Vitamin E,Retinol,Glycerin",0,0,1,1,1,0,1,1,0
811,70,4.4,0,0,11,34,Combination,None,Dry,4,5,10,8,9,Mask 70,Mask,Brand B,95.11,3.7,"Lactic Acid,Hyaluronic Acid,Vitamin E",1,0,1,0,0,0,1,1,0
1877,351,6.7,0,0,89,56,Combination,Acne,Humid,6,6,4,5,7,Sunscreen 351,Sunscreen,Brand B,99.55,3.5,"Zinc Oxide,Lactic Acid,Vitamin E,Salicylic Acid,Lactic Acid",0,0,0,1,0,0,1,0,50
1701,245,5.5,0,0,59,24,Normal,None,Dry,10,7,4,10,4,Serum 245,Serum,Brand C,72.87,4.4,"Hyaluronic Acid,Retinol,Retinol,Vitamin C,Niacinamide,Zinc Oxide,Zinc Oxide",0,0,1,1,1,0,1,0,0
114,234,7.0,1,0,50,24,Combination,Aging,Cold,1,9,4,1,8,Toner 234,Toner,Brand E,11.62,4.4,"Aloe Vera,Zinc Oxide,Aloe Vera,Titanium Dioxide,Squalane,Niacinamide",0,0,0,1,0,1,1,1,0
18,235,3.0,0,0,33,19,Combination,Aging,Dry,10,10,10,2,2,Sunscreen 235,Sunscreen,Brand A,84.3,4.8,"Chamomile,Vitamin C,Ceramides",1,0,0,0,1,0,1,1,0
1587,418,5.0,0,0,78,59,Combination,Hyperpigmentation,Temperate,9,9,2,8,1,Toner 418,Toner,Brand A,146.64,3.7,"Niacinamide,Vitamin E,Zinc Oxide",1,1,1,0,1,0,0,0,0
1365,110,7.8,1,0,48,57,Sensitive,Rosacea,Dry,2,6,2,7,6,Serum 110,Serum,Brand A,49.78,4.5,"Aloe Vera,Centella Asiatica,Vitamin E,Zinc Oxide",0,1,1,1,0,1,1,0,0
702,106,4.7,0,0,15,26,Oily,Eczema,Dry,3,8,7,7,3,Sunscreen 106,Sunscreen,Brand A,45.59,4.0,"Retinol,Niacinamide,Centella Asiatica,Zinc Oxide,Titanium Dioxide",0,0,1,0,0,0,0,1,0
1406,351,6.1,0,0,78,51,Combination,Hyperpigmentation,Humid,8,7,10,10,1,Sunscreen 351,Sunscreen,Brand B,99.55,3.5,"Zinc Oxide,Lactic Acid,Vitamin E,Salicylic Acid,Lactic Acid",0,0,0,1,0,0,1,0,50
306,148,3.5,0,0,76,25,Dry,None,Dry,6,1,1,8,2,Mask 148,Mask,Brand B,13.69,5.0,"Zinc Oxide,Retinol,Salicylic Acid,Vitamin E,Lactic Acid,Vitamin E",1,0,0,0,1,0,0,1,0
938,33,6.3,0,1,58,39,Dry,None,Cold,9,3,3,1,4,Cleanser 33,Cleanser,Brand E,120.56,3.2,"Titanium Dioxide,Ceramides,Retinol",1,1,0,1,0,0,0,1,0
1891,472,3.9,0,0,15,56,Normal,Acne,Humid,5,9,1,9,8,Cleanser 472,Cleanser,Brand A,147.98,4.4,"Titanium Dioxide,Vitamin E,Chamomile",1,1,0,0,0,0,0,0,0
357,61,6.7,0,0,41,48,Combination,None,Dry,5,9,4,10,4,Serum 61,Serum,Brand B,37.41,4.6,"Niacinamide,Glycerin,Glycolic Acid,Lactic Acid,Titanium Dioxide,Ceramides,Salicylic Acid",1,1,0,1,0,1,1,0,0
303,46,1.7,0,0,16,31,Normal,Rosacea,Temperate,8,1,9,3,4,Cleanser 46,Cleanser,Brand B,60.79,3.3,"Titanium Dioxide,Glycerin,Niacinamide,Zinc Oxide,Niacinamide",0,1,0,0,0,1,0,0,0
107,75,1.1,0,1,82,52,Combination,Aging,Dry,10,7,4,7,8,Toner 75,Toner,Brand B,12.29,4.7,"Aloe Vera,Chamomile,Zinc Oxide,Centella Asiatica,Glycolic Acid,Titanium Dioxide",0,1,0,0,0,1,1,1,0
977,96,5.8,0,0,11,36,Combination,Acne,Temperate,10,10,5,6,3,Toner 96,Toner,Brand C,23.02,3.2,"Centella Asiatica,Aloe Vera,Lactic Acid,Salicylic Acid",0,0,1,1,1,1,0,0,0
1192,402,7.6,1,0,26,61,Oily,Eczema,Temperate,3,7,10,1,4,Toner 402,Toner,Brand E,56.12,4.4,"Glycerin,Zinc Oxide,Chamomile,Zinc Oxide,Ceramides",1,0,1,0,0,1,1,0,0
1723,21,6.3,0,0,57,18,Sensitive,Aging,Dry,6,6,10,1,9,Moisturizer 21,Moisturizer,Brand A,50.96,4.1,"Niacinamide,Retinol,Squalane,Aloe Vera,Zinc Oxide",1,1,1,1,0,1,0,1,0
665,324,3.8,0,0,15,54,Dry,Hyperpigmentation,Humid,2,1,3,2,1,Sunscreen 324,Sunscreen,Brand C,98.53,4.5,"Chamomile,Niacinamide,Vitamin E,Squalane,Glycolic Acid",0,0,0,0,0,1,0,1,50
1309,421,6.3,0,0,44,47,Sensitive,Rosacea,Humid,1,7,5,4,1,Moisturizer 421,Moisturizer,Brand C,20.15,5.0,"Hyaluronic Acid,Ceramides,Ceramides,Squalane,Salicylic Acid,Niacinamide,Glycolic Acid",0,1,1,0,0,0,0,1,0
728,127,4.6,0,0,77,43,Normal,None,Humid,2,4,5,5,2,Mask 127,Mask,Brand A,31.38,3.3,"Glycolic Acid,Ceramides,Vitamin E",1,1,0,0,0,0,0,0,0
1731,500,7.3,1,0,44,53,Combination,Aging,Humid,2,3,10,6,8,Mask 500,Mask,Brand E,13.36,4.1,"Glycolic Acid,Vitamin C,Salicylic Acid",0,1,0,1,0,1,0,1,0
117,238,4.4,0,0,11,29,Sensitive,None,Dry,6,2,6,4,3,Moisturizer 238,Moisturizer,Brand A,128.44,3.4,"Glycolic Acid,Salicylic Acid,Titanium Dioxide,Zinc Oxide,Vitamin E",0,0,0,0,0,0,0,1,0
940,489,3.5,0,1,20,23,Normal,Hyperpigmentation,Humid,7,9,10,5,10,Mask 489,Mask,Brand C,102.82,3.8,"Ceramides,Niacinamide,Hyaluronic Acid,Titanium Dioxide,Aloe Vera,Hyaluronic Acid",0,0,1,1,0,1,1,1,0
1850,172,3.5,0,0,51,34,Oily,Eczema,Dry,10,9,9,9,8,Sunscreen 172,Sunscreen,Brand E,26.77,3.3,"Zinc Oxide,Hyaluronic Acid,Hyaluronic Acid,Lactic Acid,Salicylic Acid,Aloe Vera",1,0,0,0,1,1,1,1,50
528,320,6.9,0,0,31,58,Combination,None,Temperate,2,5,4,10,4,Toner 320,Toner,Brand E,65.8,3.2,"Vitamin C,Ceramides,Hyaluronic Acid",1,0,0,1,1,1,1,0,0
265,183,3.7,0,0,62,19,Sensitive,Aging,Dry,1,5,4,9,10,Serum 183,Serum,Brand A,74.81,3.3,"Hyaluronic Acid,Centella Asiatica,Glycerin,Salicylic Acid",0,0,0,1,0,0,1,1,0
218,330,4.3,0,0,87,49,Dry,None,Cold,2,1,4,3,7,Cleanser 330,Cleanser,Brand E,59.79,3.9,"Ceramides,Chamomile,Vitamin E",0,0,1,1,1,1,0,1,0
1587,288,1.5,0,0,30,59,Combination,Hyperpigmentation,Temperate,9,9,2,8,1,Moisturizer 288,Moisturizer,Brand A,40.8,3.7,"Niacinamide,Centella Asiatica,Titanium Dioxide,Salicylic Acid,Glycerin,Niacinamide",1,0,1,0,1,1,1,1,0
155,463,4.0,0,0,45,62,Sensitive,Acne,Dry,4,4,5,3,10,Mask 463,Mask,Brand B,54.79,4.6,"Squalane,Chamomile,Chamomile,Salicylic Acid,Retinol,Glycolic Acid",0,1,0,1,1,0,0,1,0
322,179,6.8,0,0,25,51,Combination,Acne,Temperate,2,2,7,9,1,Serum 179,Serum,Brand B,139.2,3.5,"Titanium Dioxide,Vitamin C,Ceramides,Titanium Dioxide,Glycerin,Vitamin E",1,1,1,1,0,1,1,1,0
141,206,6.7,0,0,28,26,Oily,Hyperpigmentation,Cold,4,7,7,8,8,Moisturizer 206,Moisturizer,Brand A,91.19,3.8,"Ceramides,Chamomile,Hyaluronic Acid,Glycolic Acid,Lactic Acid",1,0,0,1,0,0,0,1,0
916,353,7.6,1,0,38,62,Oily,None,Dry,7,9,9,4,7,Toner 353,Toner,Brand C,15.08,3.4,"Centella Asiatica,Lactic Acid,Lactic Acid",1,0,1,1,1,1,0,0,0
30,347,7.4,1,0,10,44,Combination,Eczema,Temperate,6,1,1,8,1,Sunscreen 347,Sunscreen,Brand E,13.13,4.6,"Zinc Oxide,Vitamin E,Salicylic Acid,Lactic Acid,Niacinamide,Niacinamide",0,1,1,1,0,1,1,1,15
873,323,6.8,0,0,47,64,Normal,Acne,Temperate,4,10,6,10,2,Cleanser 323,Cleanser,Brand A,73.45,4.1,"Niacinamide,Lactic Acid,Centella Asiatica,Aloe Vera",1,1,0,0,1,1,1,0,0
1311,433,2.7,0,1,47,51,Normal,Rosacea,Cold,10,5,7,1,10,Cleanser 433,Cleanser,Brand B,126.93,3.8,"Glycolic Acid,Vitamin E,Squalane,Aloe Vera",1,0,0,0,0,1,0,0,0
244,221,6.8,0,0,78,37,Normal,Hyperpigmentation,Temperate,7,8,10,9,1,Serum 221,Serum,Brand A,137.34,3.4,"Aloe Vera,Titanium Dioxide,Niacinamide,Titanium Dioxide,Retinol,Titanium Dioxide",1,1,1,1,1,0,0,1,0
25,422,4.7,0,0,9,50,Combination,None,Cold,1,2,8,7,5,Cleanser 422,Cleanser,Brand B,106.15,3.1,"Lactic Acid,Titanium Dioxide,Aloe Vera,Aloe Vera,Squalane,Centella Asiatica,Chamomile",1,1,1,0,1,1,0,0,0
898,261,6.5,0,0,42,54,Dry,Rosacea,Temperate,7,3,3,7,9,Mask 261,Mask,Brand B,136.23,3.9,"Salicylic Acid,Salicylic Acid,Zinc Oxide,Chamomile",1,1,1,1,0,0,0,1,0
1198,221,8.0,1,0,43,50,Oily,Aging,Humid,5,8,9,6,1,Serum 221,Serum,Brand A,137.34,3.4,"Aloe Vera,Titanium Dioxide,Niacinamide,Titanium Dioxide,Retinol,Titanium Dioxide",1,1,1,1,1,0,0,1,0
1334,149,7.0,0,0,42,60,Combination,None,Humid,7,7,6,1,9,Mask 149,Mask,Brand A,107.12,4.8,"Chamomile,Zinc Oxide,Titanium Dioxide,Glycolic Acid,Zinc Oxide",0,0,1,1,1,1,1,1,0
1229,488,4.6,0,0,89,35,Normal,Aging,Cold,7,1,4,7,8,Moisturizer 488,Moisturizer,Brand B,99.93,4.8,"Centella Asiatica,Aloe Vera,Squalane",1,0,0,0,0,1,1,0,0
1879,31,3.3,0,0,35,63,Sensitive,Aging,Dry,2,10,8,3,10,Sunscreen 31,Sunscreen,Brand D,115.01,3.4,"Chamomile,Hyaluronic Acid,Aloe Vera",0,1,0,0,1,0,0,0,30
